B_fighter,R_fighter,Winner,B_current_lose_streak,B_current_win_streak,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO_TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_age,B_Stance_Open_Stance,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,R_current_lose_streak,R_current_win_streak,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO_TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,R_Stance_Open_Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch
Joe Lauzon,Jim Miller,0,0.0,1.0,3.0,4.0,22.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0,9.0,177.8,180.34,155.0,28.0,0,1,0,0,1.0,0.0,7.0,3.0,31.0,0.0,0.0,0.0,4.0,2.0,4.0,0.0,10.0,172.72,180.34,155.0,29.0,0,0,1,0
George Roop,George Sotiropoulos,0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,185.42,182.88,135.0,27.0,0,1,0,0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,177.8,180.34,155.0,32.0,0,1,0,0
Patrick Cummins,Antonio Carlos Junior,1,0.0,2.0,2.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,187.96,193.04,205.0,34.0,0,1,0,0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,187.96,200.66,185.0,24.0,0,1,0,0
Jordan Mein,Matt Brown,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,182.88,185.42,170.0,23.0,0,1,0,0,0.0,4.0,4.0,5.0,31.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0,9.0,182.88,190.5,170.0,32.0,0,1,0,0
Daichi Abe,Li Jingliang,0,1.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,180.34,180.34,170.0,26.0,0,1,0,0,1.0,0.0,3.0,3.0,17.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,5.0,182.88,180.34,170.0,30.0,0,1,0,0
Ion Cutelaba,Glover Teixeira,0,0.0,2.0,2.0,2.0,11.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,185.42,190.5,205.0,25.0,0,0,1,0,0.0,1.0,5.0,5.0,36.0,1.0,0.0,0.0,2.0,4.0,4.0,1.0,11.0,187.96,193.04,205.0,39.0,0,1,0,0
Vicente Luque,Leon Edwards,0,0.0,4.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,4.0,180.34,190.5,170.0,25.0,0,1,0,0,0.0,2.0,2.0,2.0,16.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,182.88,187.96,170.0,25.0,0,0,1,0
Junior Assuncao,Nate Diaz,0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,175.26,182.88,145.0,26.0,0,1,0,0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,182.88,193.04,170.0,22.0,0,0,1,0
John Cofer,Justin Lawrence,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.26,185.42,155.0,28.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.72,170.18,145.0,22.0,0,1,0,0
Costas Philippou,Tim Boetsch,1,0.0,4.0,4.0,1.0,13.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,180.34,185.42,185.0,33.0,0,1,0,0,0.0,4.0,4.0,3.0,24.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,7.0,182.88,187.96,185.0,31.0,0,1,0,0
Jorge Rivera,Lee Murray,0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,185.42,185.42,185.0,31.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.5,195.6930563384726,185.0,26.0,0,1,0,0
Sergei Pavlovich,Alistair Overeem,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.5,213.36,257.0,26.0,0,0,1,0,2.0,0.0,4.0,6.0,28.0,1.0,1.0,0.0,2.0,5.0,0.0,0.0,8.0,193.04,203.2,265.0,38.0,0,1,0,0
Chris Lytle,Matt Serra,1,0.0,3.0,3.0,9.0,39.0,1.0,0.0,0.0,2.0,1.0,5.0,0.0,8.0,180.34,172.72,170.0,36.0,0,1,0,0,0.0,1.0,2.0,6.0,32.0,3.0,1.0,1.0,2.0,2.0,1.0,0.0,7.0,167.64,172.72,170.0,36.0,0,1,0,0
Matt Hamill,Thiago Silva,0,0.0,1.0,5.0,4.0,31.0,0.0,1.0,0.0,3.0,5.0,0.0,0.0,10.0,185.42,193.04,205.0,37.0,0,1,0,0,0.0,1.0,4.0,5.0,20.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,187.96,187.96,205.0,30.0,0,1,0,0
