date,B_fighter,R_fighter,Winner,B_current_lose_streak,B_current_win_streak,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO_TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_age,B_Stance_Open_Stance,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,R_current_lose_streak,R_current_win_streak,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO_TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,R_Stance_Open_Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch
2012-04-14,Siyar Bahadurzada,Paulo Thiago,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.34,185.42,170.0,27.0,0,1,0,0,0.0,1.0,2.0,3.0,18.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,4.0,180.34,185.42,170.0,31.0,0,1,0,0
2017-05-13,Rashad Coulter,Chase Sherman,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.34,193.04,205.0,35.0,0,1,0,0,2.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.04,198.12,250.0,27.0,0,1,0,0
2007-04-21,Mirko Cro Cop,Gabriel Gonzaga,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,187.96,185.42,230.0,32.0,0,0,1,0,0.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,187.96,193.04,242.0,27.0,0,1,0,0
2017-04-22,Eddie Wineland,John Dodson,0,0.0,2.0,2.0,5.0,23.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,5.0,170.18,175.26,135.0,32.0,0,1,0,0,1.0,0.0,3.0,3.0,28.0,3.0,0.0,0.0,2.0,4.0,0.0,1.0,7.0,160.02,167.64,135.0,32.0,0,1,0,0
2017-02-11,Phillipe Nover,Rick Glenn,0,2.0,0.0,1.0,5.0,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,175.26,182.88,145.0,33.0,0,1,0,0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.88,177.8,145.0,27.0,0,0,1,0
2014-11-22,Isaac Vallie-Flagg,Matt Wiman,0,2.0,0.0,1.0,2.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,172.72,172.72,155.0,36.0,0,1,0,0,1.0,0.0,4.0,5.0,30.0,0.0,0.0,0.0,4.0,2.0,3.0,0.0,9.0,177.8,172.72,155.0,31.0,0,1,0,0
2018-02-24,Alex Perez,Eric Shelton,1,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,167.64,165.1,135.0,25.0,0,1,0,0,0.0,1.0,1.0,2.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,167.64,172.72,125.0,27.0,0,1,0,0
2015-05-23,Rafael Natal,Uriah Hall,1,0.0,2.0,3.0,5.0,33.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,7.0,182.88,193.04,185.0,32.0,0,1,0,0,0.0,3.0,3.0,2.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,182.88,200.66,185.0,30.0,0,1,0,0
2015-02-14,Rodrigo de Lima,Efrain Escudero,0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.18,190.5,155.0,23.0,0,1,0,0,4.0,0.0,2.0,5.0,22.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,175.26,177.8,155.0,29.0,0,1,0,0
2010-09-25,Sean McCorkle,Mark Hunt,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.66,205.74,265.0,34.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.8,182.88,265.0,36.0,0,1,0,0
